novel_id,scene_n,nudity_score,nudity_label,is_erotic,word_count,char_n,char_mean,char_std,char_median,char_iqr,char_range,char_min,char_max,amb_n,amb_mean,amb_std,amb_median,amb_iqr,amb_range
Cowboy_Be_Mine_TEXAS,1,1,weak,1,702,4,2.75,0.5,3.0,0.25,1.0,2.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,2,1,weak,1,480,5,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,3,0,absent,0,1325,11,3.0454545454545454,0.35032452487268534,3.0,0.0,1.5,2.5,4.0,2,2.0,1.4142135623730951,2.0,1.0,2.0
Cowboy_Be_Mine_TEXAS,4,0,absent,0,635,0,,,,,,,,2,4.0,0.0,4.0,0.0,0.0
Cowboy_Be_Mine_TEXAS,5,1,weak,1,464,3,3.6666666666666665,0.5773502691896258,4.0,0.5,1.0,3.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,6,1,weak,1,1444,12,3.0416666666666665,0.8106768589869638,3.0,0.25,3.0,1.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,7,1,weak,1,1860,22,3.1136363636363638,0.6888883070332226,3.0,0.375,3.0,1.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,8,0,absent,0,895,7,2.857142857142857,0.37796447300922725,3.0,0.0,1.0,2.0,3.0,1,,,,,
Cowboy_Be_Mine_TEXAS,9,0,absent,0,1466,18,3.3333333333333335,0.7859052479933757,3.0,0.875,3.0,2.0,5.0,1,,,,,
Cowboy_Be_Mine_TEXAS,10,1,weak,1,720,3,3.0,0.0,3.0,0.0,0.0,3.0,3.0,1,,,,,
Cowboy_Be_Mine_TEXAS,11,0,absent,0,615,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,12,0,absent,0,533,1,,,,,,,,1,,,,,
Cowboy_Be_Mine_TEXAS,13,0,absent,0,916,9,2.888888888888889,0.33333333333333337,3.0,0.0,1.0,2.0,3.0,2,2.75,2.4748737341529163,2.75,1.75,3.5
Cowboy_Be_Mine_TEXAS,14,0,absent,0,845,8,2.8125,0.8425090080061035,3.0,0.125,3.0,1.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,15,1,weak,1,353,1,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,16,0,absent,0,849,9,3.6666666666666665,0.5,4.0,1.0,1.0,3.0,4.0,5,2.8,1.6431676725154984,4.0,3.0,3.0
Cowboy_Be_Mine_TEXAS,17,1,weak,1,511,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,18,1,weak,1,1047,5,2.8,1.0954451150103321,3.0,0.0,3.0,1.0,4.0,2,3.75,0.3535533905932738,3.75,0.25,0.5
Cowboy_Be_Mine_TEXAS,19,1,weak,1,894,4,2.75,0.5,3.0,0.25,1.0,2.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,20,1,weak,1,598,6,3.3333333333333335,0.5163977794943222,3.0,0.75,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,21,0,absent,0,183,3,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,22,0,absent,0,1200,14,3.0714285714285716,0.4746311465493234,3.0,0.0,2.0,2.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,23,1,weak,1,1001,11,2.772727272727273,0.753778361444409,3.0,0.25,3.0,1.0,4.0,5,3.2,0.44721359549995787,3.0,0.0,1.0
Cowboy_Be_Mine_TEXAS,24,2,strong,1,518,4,2.25,1.5,2.0,2.25,3.0,1.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,25,0,absent,0,140,0,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,26,0,absent,0,673,13,3.0384615384615383,0.7205766921228921,3.0,0.0,3.0,1.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,27,1,weak,1,1550,11,3.5,0.4472135954999579,3.5,1.0,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,28,1,weak,1,475,1,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,29,1,weak,1,900,10,3.05,0.3689323936863109,3.0,0.0,1.5,2.5,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,30,0,absent,0,1562,11,2.6818181818181817,1.0067950951590714,3.0,0.75,3.0,1.0,4.0,2,2.5,2.1213203435596424,2.5,1.5,3.0
Cowboy_Be_Mine_TEXAS,31,0,absent,0,1776,20,2.825,0.674244216258393,3.0,0.0,3.0,1.0,4.0,3,3.3333333333333335,0.5773502691896258,3.0,0.5,1.0
Cowboy_Be_Mine_TEXAS,32,1,weak,1,433,0,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,33,0,absent,0,1362,16,3.21875,0.836037279870541,3.0,0.625,4.0,1.0,5.0,0,,,,,
Cowboy_Be_Mine_TEXAS,34,0,absent,0,982,8,3.0,0.4629100498862757,3.0,0.125,1.5,2.0,3.5,1,,,,,
Cowboy_Be_Mine_TEXAS,35,1,weak,1,3575,47,3.0638297872340425,0.672576335384705,3.0,0.0,3.0,1.0,4.0,4,4.0,0.816496580927726,4.0,0.5,2.0
Cowboy_Be_Mine_TEXAS,36,0,absent,0,719,0,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,37,1,weak,1,441,1,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,38,1,weak,1,492,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,39,0,absent,0,906,13,3.3076923076923075,0.4803844614152615,3.0,1.0,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,40,0,absent,0,1303,25,3.04,0.45460605656619524,3.0,0.0,2.0,2.0,4.0,2,4.0,0.0,4.0,0.0,0.0
Cowboy_Be_Mine_TEXAS,41,0,absent,0,2395,30,3.1666666666666665,0.8441822541139559,3.0,1.0,4.0,1.0,5.0,6,3.0833333333333335,1.2006942436218584,3.5,1.375,3.0
Cowboy_Be_Mine_TEXAS,42,1,weak,1,1261,11,2.909090909090909,1.044465935734187,3.0,0.5,3.0,1.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,43,0,absent,0,373,7,3.2142857142857144,0.3933978962347216,3.0,0.25,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,44,0,absent,0,81,1,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,45,0,absent,0,573,4,3.375,0.47871355387816905,3.25,0.625,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,46,1,weak,1,1733,17,2.9705882352941178,0.44967308386531335,3.0,0.0,2.0,2.0,4.0,2,4.0,0.0,4.0,0.0,0.0
Cowboy_Be_Mine_TEXAS,47,0,absent,0,173,3,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,48,0,absent,0,923,6,3.5,0.5477225575051661,3.5,1.0,1.0,3.0,4.0,3,2.5,1.3228756555322954,3.0,1.25,2.5
Cowboy_Be_Mine_TEXAS,49,0,absent,0,553,4,2.5,1.0,3.0,0.5,2.0,1.0,3.0,2,2.0,0.0,2.0,0.0,0.0
Cowboy_Be_Mine_TEXAS,50,0,absent,0,2146,15,2.8,0.6761234037828132,3.0,0.0,3.0,1.0,4.0,2,4.0,0.0,4.0,0.0,0.0
Cowboy_Be_Mine_TEXAS,51,2,strong,1,2750,20,3.175,0.49404346708404207,3.0,0.125,2.0,2.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,52,1,weak,1,777,5,2.9,0.22360679774997894,3.0,0.0,0.5,2.5,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,53,0,absent,0,583,6,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,54,1,weak,1,1180,12,2.9166666666666665,0.19462473604038077,3.0,0.0,0.5,2.5,3.0,0,,,,,
Cowboy_Be_Mine_TEXAS,55,0,absent,0,1701,20,3.075,0.5199949392466289,3.0,0.0,2.0,2.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,56,2,strong,1,799,5,3.2,0.4472135954999579,3.0,0.0,1.0,3.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,57,1,weak,1,267,0,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,58,1,weak,1,354,3,3.3333333333333335,0.5773502691896258,3.0,0.5,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,59,2,strong,1,679,7,3.2857142857142856,0.48795003647426666,3.0,0.5,1.0,3.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,60,2,strong,1,781,8,3.0625,0.5629958132298016,3.0,0.125,2.0,2.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,61,0,absent,0,1308,12,3.0416666666666665,0.498102459947811,3.0,0.125,2.0,2.0,4.0,0,,,,,
Cowboy_Be_Mine_TEXAS,62,0,absent,0,527,5,3.4,0.8944271909999159,3.0,0.0,2.0,3.0,5.0,5,3.0,1.224744871391589,3.0,1.0,3.0
Cowboy_Be_Mine_TEXAS,63,1,weak,1,1445,16,2.9375,0.8539125638299665,3.0,0.0,3.0,1.0,4.0,5,2.9,0.5477225575051661,3.0,0.0,1.5
Cowboy_Be_Mine_TEXAS,64,0,absent,0,801,11,3.0454545454545454,0.8501336793277119,3.0,0.5,3.0,1.0,4.0,1,,,,,
Cowboy_Be_Mine_TEXAS,65,1,weak,1,456,1,,,,,,,,0,,,,,
Cowboy_Be_Mine_TEXAS,66,1,weak,1,171,5,3.3,0.6708203932499369,3.0,1.0,1.5,2.5,4.0,0,,,,,
Deceptions-CALIFORNIA,1,1,weak,1,1969,6,2.75,0.4183300132670378,3.0,0.375,1.0,2.0,3.0,1,,,,,
Deceptions-CALIFORNIA,2,0,absent,0,98,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,3,1,weak,1,975,4,3.25,0.5,3.0,0.25,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,4,1,weak,1,206,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,5,1,weak,1,235,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,6,0,absent,0,158,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,7,0,absent,0,194,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,8,1,weak,1,306,0,,,,,,,,4,3.425,0.6751543033509697,3.5,1.0750000000000002,1.2999999999999998
Deceptions-CALIFORNIA,9,1,weak,1,159,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,1,,,,,
Deceptions-CALIFORNIA,10,0,absent,0,345,2,2.0,1.4142135623730951,2.0,1.0,2.0,1.0,3.0,0,,,,,
Deceptions-CALIFORNIA,11,1,weak,1,129,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,12,1,weak,1,483,4,2.75,1.2583057392117916,3.0,0.75,3.0,1.0,4.0,0,,,,,
Deceptions-CALIFORNIA,13,1,weak,1,806,4,3.625,0.47871355387816905,3.75,0.625,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,14,2,strong,1,725,5,2.0,0.7071067811865476,2.0,0.0,2.0,1.0,3.0,0,,,,,
Deceptions-CALIFORNIA,15,0,absent,0,70,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,16,1,weak,1,336,3,3.6666666666666665,0.5773502691896258,4.0,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,17,2,strong,1,202,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,18,1,weak,1,342,1,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,19,1,weak,1,415,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,20,2,strong,1,324,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,21,1,weak,1,841,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,0,,,,,
Deceptions-CALIFORNIA,22,2,strong,1,98,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,23,1,weak,1,1286,7,3.2857142857142856,0.4879500364742666,3.0,0.5,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,24,1,weak,1,407,4,3.5,0.5773502691896257,3.5,1.0,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,25,1,weak,1,404,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,26,1,weak,1,403,0,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,27,1,weak,1,374,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,28,1,weak,1,995,8,3.1875,0.37201190457142247,3.0,0.125,1.0,3.0,4.0,2,3.5,0.7071067811865476,3.5,0.5,1.0
Deceptions-CALIFORNIA,29,1,weak,1,364,2,3.25,0.3535533905932738,3.25,0.25,0.5,3.0,3.5,1,,,,,
Deceptions-CALIFORNIA,30,1,weak,1,2542,21,2.9285714285714284,0.554204706893452,3.0,0.0,3.0,1.0,4.0,1,,,,,
Deceptions-CALIFORNIA,31,1,weak,1,358,0,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,32,2,strong,1,1102,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,2,3.25,1.0606601717798212,3.25,0.75,1.5
Deceptions-CALIFORNIA,33,1,weak,1,514,2,2.75,0.3535533905932738,2.75,0.25,0.5,2.5,3.0,0,,,,,
Deceptions-CALIFORNIA,34,2,strong,1,661,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,35,1,weak,1,1834,10,2.55,1.0124228365658292,3.0,1.0,3.0,1.0,4.0,1,,,,,
Deceptions-CALIFORNIA,36,1,weak,1,980,3,3.6666666666666665,0.5773502691896258,4.0,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,37,1,weak,1,513,1,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,38,0,absent,0,187,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,39,1,weak,1,1572,9,2.888888888888889,0.7817359599705717,3.0,0.0,3.0,1.0,4.0,2,3.5,0.7071067811865476,3.5,0.5,1.0
Deceptions-CALIFORNIA,40,2,strong,1,490,3,3.3333333333333335,0.5773502691896258,3.0,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,41,1,weak,1,638,6,3.1666666666666665,0.408248290463863,3.0,0.0,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,42,0,absent,0,16,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,43,1,weak,1,677,6,2.8333333333333335,0.983192080250175,3.0,0.0,3.0,1.0,4.0,1,,,,,
Deceptions-CALIFORNIA,44,1,weak,1,297,3,2.8333333333333335,0.2886751345948129,3.0,0.25,0.5,2.5,3.0,1,,,,,
Deceptions-CALIFORNIA,45,1,weak,1,392,2,3.0,0.7071067811865476,3.0,0.5,1.0,2.5,3.5,0,,,,,
Deceptions-CALIFORNIA,46,1,weak,1,273,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,47,0,absent,0,57,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,48,2,strong,1,408,4,3.0,0.0,3.0,0.0,0.0,3.0,3.0,2,1.5,0.7071067811865476,1.5,0.5,1.0
Deceptions-CALIFORNIA,49,1,weak,1,276,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,50,1,weak,1,730,10,2.9,0.7378647873726218,3.0,0.0,3.0,1.0,4.0,0,,,,,
Deceptions-CALIFORNIA,51,1,weak,1,1005,10,3.15,0.3374742788552764,3.0,0.0,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,52,0,absent,0,241,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,53,2,strong,1,896,4,2.75,0.5,3.0,0.25,1.0,2.0,3.0,2,4.0,0.0,4.0,0.0,0.0
Deceptions-CALIFORNIA,54,1,weak,1,225,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,55,2,strong,1,413,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,56,1,weak,1,694,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,57,2,strong,1,769,4,3.25,0.5,3.0,0.25,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,58,1,weak,1,137,2,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0,,,,,
Deceptions-CALIFORNIA,59,1,weak,1,155,2,2.0,1.4142135623730951,2.0,1.0,2.0,1.0,3.0,0,,,,,
Deceptions-CALIFORNIA,60,2,strong,1,570,2,3.25,0.3535533905932738,3.25,0.25,0.5,3.0,3.5,0,,,,,
Deceptions-CALIFORNIA,61,1,weak,1,417,2,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0,,,,,
Deceptions-CALIFORNIA,62,1,weak,1,278,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,63,1,weak,1,528,1,,,,,,,,2,3.5,0.0,3.5,0.0,0.0
Deceptions-CALIFORNIA,64,1,weak,1,615,4,3.25,0.5,3.0,0.25,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,65,1,weak,1,157,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,66,1,weak,1,1206,11,2.6999999999999997,0.6782329983125269,3.0,0.3999999999999999,2.5,1.0,3.5,0,,,,,
Deceptions-CALIFORNIA,67,1,weak,1,786,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,68,2,strong,1,265,0,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,69,1,weak,1,477,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,70,1,weak,1,1838,20,3.2,0.41039134083406165,3.0,0.0,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,71,1,weak,1,710,6,3.0833333333333335,0.4915960401250875,3.0,0.0,1.5,2.5,4.0,0,,,,,
Deceptions-CALIFORNIA,72,0,absent,0,533,5,2.8,1.0954451150103321,3.0,0.0,3.0,1.0,4.0,1,,,,,
Deceptions-CALIFORNIA,73,1,weak,1,283,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,74,1,weak,1,436,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,75,2,strong,1,289,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,76,1,weak,1,231,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,77,1,weak,1,273,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,0,,,,,
Finders_Keepers_VERMONT,1,0,absent,0,326,4,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,2,0,absent,0,112,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,3,0,absent,0,239,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,4,0,absent,0,1128,8,3.1875,0.37201190457142247,3.0,0.125,1.0,3.0,4.0,2,4.0,0.0,4.0,0.0,0.0
Finders_Keepers_VERMONT,5,0,absent,0,1274,9,3.111111111111111,0.927960727138337,3.0,1.0,3.0,1.0,4.0,2,2.75,0.3535533905932738,2.75,0.25,0.5
Finders_Keepers_VERMONT,6,0,absent,0,128,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,7,0,absent,0,736,8,3.25,0.4629100498862757,3.0,0.25,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,8,0,absent,0,304,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,9,0,absent,0,335,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,10,0,absent,0,323,4,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,11,0,absent,0,228,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,12,0,absent,0,242,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,13,0,absent,0,204,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,14,0,absent,0,503,5,3.2,0.4472135954999579,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,15,0,absent,0,1948,15,2.966666666666667,0.6113996432854077,3.0,0.0,3.0,1.0,4.0,0,,,,,
Finders_Keepers_VERMONT,16,0,absent,0,1085,6,3.1666666666666665,0.40824829046386296,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,17,1,weak,1,305,0,,,,,,,,3,3.0,1.7320508075688772,4.0,1.5,3.0
Finders_Keepers_VERMONT,18,0,absent,0,289,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,19,0,absent,0,324,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,20,0,absent,0,212,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,21,0,absent,0,803,6,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,22,0,absent,0,523,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,23,0,absent,0,179,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,24,0,absent,0,439,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,25,0,absent,0,101,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,26,0,absent,0,306,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,1,,,,,
Finders_Keepers_VERMONT,27,1,weak,1,294,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,28,0,absent,0,1405,9,3.1666666666666665,0.35355339059327373,3.0,0.0,1.0,3.0,4.0,0,,,,,
